用語,読み,定義・説明
耐空性審査要領,たいくうせいしんさようりょう,附属書第1の基準をより具体的に定めた通達。
整備改造命令,せいびかいぞうめいれい,耐空証明の基準に適合しなくなった（おそれがある）と認めるときに国土交通大臣が出す命令。【法第14条の3】
軽微な保守,けいびなほしゅ,複雑な結合作業を伴わない規格装備品又は部品の交換その他の簡単な保守予防作業。整備士の確認不要。【規則第5条の6】
一般的な保守,いっぱんてきなほしゅ,軽微な保守以外の保守作業。整備士の確認が必要。
軽微な修理,けいびなしゅうり,耐空性に及ぼす影響が軽微で、複雑でない修理作業。整備士の確認が必要。
小修理,しょうしゅうり,軽微な修理及び大修理以外の修理作業。整備士の確認が必要。
大修理,だいしゅうり,耐空性に重大な影響を及ぼす修理作業。耐空検査員による修理改造検査が必要。【法第17条】
小改造,しょうかいぞう,大改造以外の改造作業。耐空検査員の確認が必要。
大改造,だいかいぞう,耐空性に重大な影響を及ぼす改造作業。耐空検査員による修理改造検査が必要。
定時点検,ていじてんけん,一定時間以上の飛行を行った機体に対して行う点検。学連では100時間毎。整備士の監督下で実施。
3000時間点検,さんぜんじかんてんけん,部品1つ1つの点検を行うオーバーホール検査。メーカー保証を受けるために必要。
SB,エスビー,Service Bulletin。メーカーから出される製造後に発覚した不具合等に関する技術通報。
TN,ティーエヌ,Technical Note。欧州系メーカーから出されるSBを含む技術通報。ドイツ語ではTM。
TCD,ティーシーディー,耐空性改善通報。航空局から所有者に対して発行される航空機の改修を義務付ける通知。
AD,エーディー,Airworthiness Directive。耐空性改善命令。外国版のTCD。
技能証明,ぎのうしょうめい,航空従事者として必要な知識と能力があることを証明するもの。種類・等級・型式の限定を受ける。【法第24条・25条】
自家用操縦士,じかようそうじゅうし,報酬を受けないで、無償の運航を行う航空機の操縦を行う資格。上級滑空機は16歳以上。【法第28条】
事業用操縦士,じぎょうようそうじゅうし,報酬を受けて、無償の運航を行う航空機の操縦を行う資格。上級滑空機は17歳以上。【法第28条】
航空身体検査証明,こうくうしんたいけんさしょうめい,航空機に乗り組んでの運航に必要な身体的適性を証明するもの。【法第28条・31条】
操縦練習許可書,そうじゅうれんしゅうきょかしょ,技能証明を持たない者が操縦教員の監督下で操縦練習を行うために必要な許可書。航空身体検査証明と同じ役割。【法第35条】
操縦教育証明,そうじゅうきょういくしょうめい,操縦の教育を行うために必要な証明。種類単位で与えられる。教証。【法第34条】
操縦教員,そうじゅうきょういん,操縦教育証明を受けた者。直近1年以内に2時間の飛行時間と10発以上の操縦教育が必要。【法第69条】
特定操縦技能審査,とくていそうじゅうぎのうしんさ,2年に1度、機長として飛行するために必要な知識と能力を維持しているか確認する審査。【法第71条の3】
法第60条,ほうだいろくじゅうじょう,管制区、管制圏、情報圏でトランスポンダーとVHF無線を装備しないと飛行できない規定。
法第92条,ほうだいきゅうじゅうにじょう,管制区、管制圏での操縦練習、姿勢を頻繁に変える飛行等を禁止する規定。但書申請が必要。
6092,ロクマルキューニー,法第60条と92条関連の但書申請のこと。妻沼滑空場での訓練に必要。
告示200号,こくじにひゃくごう,法第60条の補足。管制圏・管制区内では高度3050m以上からトランスポンダーが必要と規定。
出発前の確認,しゅっぱつまえのかくにん,機長が航空機の航行に支障がないことを確認する義務。整備状況、重量・重心、航空情報、気象情報等を確認。【法第73条の2】
六項目,ろっこうもく,出発前の確認で確認すべき6つの項目。整備状況、重量・重心、航空情報、気象情報、燃料・滑油、積載物の安全性。
見張りの義務,みはりのぎむ,操縦者が他の航空機や物件と衝突しないように見張りをする義務。計器飛行中も義務がある。【法第71条の2】
報告の義務,ほうこくのぎむ,航空事故、異常事態、ニヤミス・重大インシデントが発生した場合の国土交通大臣への報告義務。【法第76条・76条の2】
物件の曳航,ぶっけんのえいこう,航空機が滑空機を曳航する際の基準。曳航索は40m以上80m以下、雲中・夜間は禁止等。【法第88条】
物件の投下,ぶっけんのとうか,航空機から物件を投下することの禁止。耐空検査時点で装着されていた部品の落下は「部品の欠損」。【法第89条】
曲技飛行,きょくぎひこう,宙返り、横転、反転、背面、きりもみ等の飛行。人口密集地、管制区、管制圏では原則禁止。視程5000m以上、障害物から300m以上必要。【法第91条】
飛行計画,ひこうけいかく,フライトプラン。出発地点から半径9km圏内の飛行の場合は提出不要。【法第97条】
QNH,キューエヌエイチ,"高度を平均海面からの高度（標高）に合わせる気圧高度計の規正方法。14,000ft未満で使用。"
QNE,キューエヌイー,"コールスマンウインドウを標準大気（1013.2hPa）に合わせる方法。14,000ft以上で使用。"
VMC,ブイエムシー,有視界気象状態。VFRで飛行する際に必要な最低気象条件。高度・空域により視程・雲距離が異なる。
飛行視程,ひこうしてい,操縦席から前方を見ることができる範囲の視程。
地上視程,ちじょうしてい,卓越視程もしくはRVR滑走路視距離。
雲高,うんこう,全天の5/8以上で地表から6000mの雲層のうち、最も低い雲層の高さ。シーリング。
特別有視界飛行方式,とくべつゆうしかいひこうほうしき,VMCを満たさない場合でも一定の条件下でVFRにて飛行できる方式。sVFR。【規則第198条の4】
最低安全高度,さいていあんぜんこうど,VFRで飛行できる最低高度。人口密集地は障害物から300m以上、その他は150m以上。【法第81条】
人口集中地区,じんこうしゅうちゅうちく,DID。国土地理院が国勢調査をもとに作成。最低安全高度の「人や家屋の密集地」に該当。
巡航高度,じゅんこうこうど,"VFRは29,000ft未満で、0-180度未満は奇数×1000ft+500ft、180-360度未満は偶数×1000ft+500ft。"
進路権,しんろけん,航空機の針路が交差・接近する場合の優先順位。滑空機＞曳航機＞飛行船＞飛行機等。
右側優先,みぎがわゆうせん,同順位の航空機が接近する場合、他の航空機を右側に見る航空機が進路を譲る。
航空事故,こうくうじこ,墜落・衝突・火災、人の死傷・物件の損壊、機内での死亡・行方不明、他機との接触、大修理相当の損傷。【法第76条】
異常事態,いじょうじたい,航空保安施設の機能障害、異常な気象状態、火山の爆発等、航行の安全に影響を及ぼす恐れがある事態。【法第76条】
重大インシデント,じゅうだいインシデント,航空事故が発生する恐れがあった事態。閉鎖中滑走路からの離陸、オーバーラン、発動機停止等18項目。【法第76条の2】
ニヤミス,ニヤミス,他の航空機との衝突又は接触の恐れがあった事態。【法第76条の2】
RCC,アールシーシー,救難調整本部（Rescue Coordination Center）。警察庁、消防庁、航空局、海上保安庁、防衛省で構成。
