用語,読み,定義・説明
Q項目,キューこうもく,NOTAMの概要を示す項目。FIR、NOTAMコード、飛行方式、取扱区分、範囲、下限・上限、中心点・半径を含む。
A項目,エーこうもく,NOTAMに関連する飛行場または飛行情報区を地点略号で表示する項目。
B項目,ビーこうもく,NOTAMの開始日時を表示する項目。YYMMDDHHmm形式(UTC)。
C項目,シーこうもく,NOTAMの終了日時を表示する項目。
D項目,ディーこうもく,NOTAMの明確なスケジュールが特定できる場合に表示する項目。
E項目,イーこうもく,NOTAMの内容を記載する項目。本文に相当。
F項目,エフこうもく,NOTAMの対象となる下限高度を表示する項目。
G項目,ジーこうもく,NOTAMの対象となる上限高度を表示する項目。
FL,フライトレベル,"気圧高度29.92inHg（1013.25hPa）を基準とした高度。FL100は10,000ft。"
AGL,エージーエル,Above Ground Level。対地高度。地表からの高さ。
AMSL,エーエムエスエル,Above Mean Sea Level。平均海面高度。海面からの高さ。
SFC,エスエフシー,Surface。地表面または水面。
GND,グラウンド,Ground。地上。
